,Date,AAPL,MSFT,NVDA,TSLA,AMZN,GOOGL,META
0,2018-01-02 09:30:00,42.54,86.13,4.89,20.8,58.6,52.65,177.68
1,2018-01-02 16:00:00,43.07,85.95,4.98,21.37,59.45,53.66,181.42
2,2018-01-03 09:30:00,43.13,86.06,5.1,21.4,59.42,53.7,181.88
3,2018-01-03 16:00:00,43.06,86.35,5.31,21.15,60.21,54.58,184.67
4,2018-01-04 09:30:00,43.14,86.59,5.39,20.86,60.25,54.85,184.9
5,2018-01-04 16:00:00,43.26,87.11,5.34,20.97,60.48,54.79,184.33
6,2018-01-05 09:30:00,43.36,87.66,5.35,21.11,60.88,55.17,185.59
7,2018-01-05 16:00:00,43.75,88.19,5.39,21.11,61.46,55.51,186.85
8,2018-01-08 09:30:00,43.59,88.2,5.51,21.07,61.8,55.55,187.2
9,2018-01-08 16:00:00,43.59,88.28,5.55,22.43,62.34,55.71,188.28
10,2018-01-09 09:30:00,43.64,88.65,5.56,22.34,62.85,55.92,188.7
11,2018-01-09 16:00:00,43.58,88.22,5.55,22.25,62.64,55.64,187.87
12,2018-01-10 09:30:00,43.29,87.86,5.46,22.15,62.26,55.35,186.94
13,2018-01-10 16:00:00,43.57,87.82,5.59,22.32,62.72,55.51,187.84
14,2018-01-11 09:30:00,43.65,88.13,5.63,22.35,62.99,55.62,188.4
15,2018-01-11 16:00:00,43.82,88.08,5.6,22.53,63.83,55.6,187.77
16,2018-01-12 09:30:00,44.05,88.67,5.59,22.58,63.67,55.51,178.06
17,2018-01-12 16:00:00,44.27,89.6,5.57,22.41,65.26,56.53,179.37
18,2018-01-16 09:30:00,44.48,90.1,5.6,22.5,66.15,57.02,181.5
19,2018-01-16 16:00:00,44.05,88.35,5.5,22.67,65.24,56.54,178.39
20,2018-01-17 09:30:00,44.04,89.08,5.52,22.7,65.61,56.82,179.26
21,2018-01-17 16:00:00,44.78,90.14,5.62,23.14,64.75,56.96,177.6
22,2018-01-18 09:30:00,44.84,89.8,5.6,23.04,64.7,56.97,178.13
23,2018-01-18 16:00:00,44.82,90.1,5.61,22.97,64.67,56.8,179.8
24,2018-01-19 09:30:00,44.65,90.14,5.7,23.0,65.6,56.9,180.85
25,2018-01-19 16:00:00,44.62,90.0,5.75,23.33,64.73,57.18,181.29
26,2018-01-22 09:30:00,44.33,90.0,5.76,23.29,64.86,57.19,180.8
